audio_path,label,fold
Minor_261.wav,Minor,4
Minor_237.wav,Minor,1
Major_387.wav,Major,2
Minor_87.wav,Minor,5
Major_85.wav,Major,3
Major_404.wav,Major,4
Minor_162.wav,Minor,5
Major_264.wav,Major,3
Major_411.wav,Major,3
Major_281.wav,Major,4
Minor_350.wav,Minor,1
Minor_236.wav,Minor,5
Minor_55.wav,Minor,1
Minor_339.wav,Minor,1
Major_401.wav,Major,1
Major_304.wav,Major,5
Minor_269.wav,Minor,4
Major_149.wav,Major,5
Minor_275.wav,Minor,2
Major_88.wav,Major,4
Minor_114.wav,Minor,2
Major_336.wav,Major,4
Major_445.wav,Major,3
Major_226.wav,Major,3
Major_381.wav,Major,1
Minor_244.wav,Minor,5
Major_203.wav,Major,3
Major_222.wav,Major,1
Minor_17.wav,Minor,3
Minor_204.wav,Minor,4
Minor_307.wav,Minor,2
Minor_86.wav,Minor,2
Major_23.wav,Major,1
Major_159.wav,Major,5
Minor_186.wav,Minor,5
Major_22.wav,Major,4
Minor_36.wav,Minor,5
Major_212.wav,Major,1
Minor_357.wav,Minor,2
Minor_348.wav,Minor,5
Major_333.wav,Major,2
Minor_328.wav,Minor,2
Major_17.wav,Major,1
Major_70.wav,Major,4
Minor_151.wav,Minor,4
Minor_85.wav,Minor,4
Minor_56.wav,Minor,1
Major_157.wav,Major,1
Major_463.wav,Major,3
Major_21.wav,Major,4
Major_148.wav,Major,4
Minor_214.wav,Minor,3
Major_198.wav,Major,5
Major_417.wav,Major,3
Minor_74.wav,Minor,4
Minor_209.wav,Minor,3
Minor_140.wav,Minor,5
Major_492.wav,Major,5
Major_339.wav,Major,2
Major_27.wav,Major,2
Minor_113.wav,Minor,1
Minor_65.wav,Minor,2
Minor_40.wav,Minor,4
Major_425.wav,Major,5
Major_15.wav,Major,1
Major_2.wav,Major,3
Minor_293.wav,Minor,1
Major_37.wav,Major,1
Minor_16.wav,Minor,5
Minor_24.wav,Minor,3
Minor_168.wav,Minor,2
Major_243.wav,Major,4
Major_63.wav,Major,1
Major_220.wav,Major,3
Major_361.wav,Major,3
Major_71.wav,Major,5
Major_84.wav,Major,5
Minor_171.wav,Minor,1
Major_461.wav,Major,2
Minor_46.wav,Minor,1
Minor_178.wav,Minor,5
Major_275.wav,Major,4
Major_266.wav,Major,2
Major_143.wav,Major,3
Minor_192.wav,Minor,2
Major_11.wav,Major,2
Major_10.wav,Major,1
Minor_28.wav,Minor,2
Major_65.wav,Major,5
Minor_319.wav,Minor,5
Major_141.wav,Major,4
Major_106.wav,Major,2
Minor_164.wav,Minor,1
Major_293.wav,Major,5
Major_277.wav,Major,1
Minor_41.wav,Minor,5
Major_98.wav,Major,2
Major_487.wav,Major,4
Minor_148.wav,Minor,2
Major_472.wav,Major,2
Major_231.wav,Major,5
Major_204.wav,Major,5
Major_105.wav,Major,5
Major_163.wav,Major,3
Minor_97.wav,Minor,3
Minor_294.wav,Minor,4
Major_388.wav,Major,5
Major_400.wav,Major,3
Major_236.wav,Major,4
Major_427.wav,Major,1
Major_34.wav,Major,2
Major_127.wav,Major,2
Minor_241.wav,Minor,1
Major_282.wav,Major,2
Minor_196.wav,Minor,1
Major_375.wav,Major,3
Major_482.wav,Major,4
Major_359.wav,Major,5
Major_499.wav,Major,5
Major_135.wav,Major,3
Major_154.wav,Major,5
Major_457.wav,Major,5
Major_224.wav,Major,3
Major_5.wav,Major,2
Major_176.wav,Major,2
Major_456.wav,Major,3
Minor_1.wav,Minor,1
Minor_88.wav,Minor,4
Major_124.wav,Major,2
Major_77.wav,Major,1
Minor_212.wav,Minor,4
Major_494.wav,Major,4
Minor_51.wav,Minor,4
Major_269.wav,Major,4
Minor_6.wav,Minor,5
Major_428.wav,Major,2
Minor_147.wav,Minor,2
Major_449.wav,Major,3
Minor_61.wav,Minor,5
Major_197.wav,Major,1
Minor_116.wav,Minor,3
Major_477.wav,Major,1
Minor_259.wav,Minor,1
Major_48.wav,Major,1
Minor_174.wav,Minor,2
Major_54.wav,Major,4
Major_280.wav,Major,4
Minor_78.wav,Minor,2
Major_426.wav,Major,1
Minor_139.wav,Minor,4
Minor_327.wav,Minor,1
Minor_335.wav,Minor,1
Major_305.wav,Major,2
Major_214.wav,Major,3
Minor_138.wav,Minor,3
Major_14.wav,Major,1
Major_353.wav,Major,4
Minor_199.wav,Minor,2
Major_334.wav,Major,3
Major_324.wav,Major,2
Minor_156.wav,Minor,2
Major_234.wav,Major,4
Major_251.wav,Major,2
Major_434.wav,Major,4
Minor_246.wav,Minor,2
Major_74.wav,Major,5
Major_283.wav,Major,5
Minor_33.wav,Minor,5
Minor_265.wav,Minor,3
Major_386.wav,Major,3
Minor_18.wav,Minor,4
Major_227.wav,Major,5
Major_117.wav,Major,1
Major_263.wav,Major,4
Major_247.wav,Major,4
Major_490.wav,Major,2
Major_444.wav,Major,3
Major_398.wav,Major,3
Minor_203.wav,Minor,2
Major_413.wav,Major,1
Minor_31.wav,Minor,4
Major_114.wav,Major,2
Major_406.wav,Major,4
Minor_12.wav,Minor,3
Minor_100.wav,Minor,4
Major_363.wav,Major,1
Major_35.wav,Major,1
Major_321.wav,Major,2
Minor_67.wav,Minor,5
Major_173.wav,Major,4
Major_16.wav,Major,5
Major_437.wav,Major,5
Major_41.wav,Major,5
Minor_115.wav,Minor,5
Minor_89.wav,Minor,2
Minor_324.wav,Minor,4
Major_424.wav,Major,1
Minor_281.wav,Minor,5
Minor_132.wav,Minor,1
Major_55.wav,Major,1
Major_466.wav,Major,5
Major_297.wav,Major,5
Minor_182.wav,Minor,1
Minor_198.wav,Minor,2
Minor_326.wav,Minor,1
