note,note_str,instrument,instrument_str,pitch,velocity,sample_rate,qualities,qualities_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,WavPath,fold
159151,guitar_acoustic_010-074-100,219,guitar_acoustic_010,74,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,0,acoustic,guitar_acoustic_010-074-100.wav,5
165690,organ_electronic_113-048-075,958,organ_electronic_113,48,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],6,organ,1,electronic,organ_electronic_113-048-075.wav,4
212904,bass_synthetic_098-106-100,803,bass_synthetic_098,106,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,2,synthetic,bass_synthetic_098-106-100.wav,2
149013,bass_synthetic_033-100-100,417,bass_synthetic_033,100,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,2,synthetic,bass_synthetic_033-100-100.wav,5
230398,keyboard_synthetic_000-095-127,577,keyboard_synthetic_000,95,127,16000,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]","['bright', 'distortion', 'fast_decay', 'nonlinear_env', 'percussive']",4,keyboard,2,synthetic,keyboard_synthetic_000-095-127.wav,3
225070,bass_synthetic_068-056-075,656,bass_synthetic_068,56,75,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],0,bass,2,synthetic,bass_synthetic_068-056-075.wav,5
259543,organ_electronic_057-061-100,701,organ_electronic_057,61,100,16000,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",['dark'],6,organ,1,electronic,organ_electronic_057-061-100.wav,1
45858,reed_acoustic_011-076-100,104,reed_acoustic_011,76,100,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],7,reed,0,acoustic,reed_acoustic_011-076-100.wav,3
194991,bass_electronic_025-048-075,872,bass_electronic_025,48,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_025-048-075.wav,2
119717,guitar_acoustic_015-038-075,316,guitar_acoustic_015,38,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['reverb'],3,guitar,0,acoustic,guitar_acoustic_015-038-075.wav,3
41569,bass_electronic_025-058-075,872,bass_electronic_025,58,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],0,bass,1,electronic,bass_electronic_025-058-075.wav,1
86797,guitar_electronic_028-091-127,510,guitar_electronic_028,91,127,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,1,electronic,guitar_electronic_028-091-127.wav,2
116664,string_acoustic_057-084-127,450,string_acoustic_057,84,127,16000,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","['bright', 'nonlinear_env', 'reverb']",8,string,0,acoustic,string_acoustic_057-084-127.wav,1
282007,keyboard_electronic_098-107-050,905,keyboard_electronic_098,107,50,16000,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","['bright', 'fast_decay', 'percussive']",4,keyboard,1,electronic,keyboard_electronic_098-107-050.wav,1
136261,guitar_acoustic_014-037-075,263,guitar_acoustic_014,37,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,guitar,0,acoustic,guitar_acoustic_014-037-075.wav,2
132501,bass_synthetic_033-029-127,417,bass_synthetic_033,29,127,16000,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",['distortion'],0,bass,2,synthetic,bass_synthetic_033-029-127.wav,4
286347,keyboard_electronic_002-067-075,50,keyboard_electronic_002,67,75,16000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,keyboard,1,electronic,keyboard_electronic_002-067-075.wav,4
