spk_id,wav,labels,WavPath,label,fold
f2750,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f2750_0_cough.wav,/m/01b_21,f2750_0_cough.wav,Cough,1
m0805,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0805_0_sigh.wav,/m/07plz5l,m0805_0_sigh.wav,Sigh,5
f1142,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1142_0_cough.wav,/m/01b_21,f1142_0_cough.wav,Cough,3
m0127,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0127_0_sigh.wav,/m/07plz5l,m0127_0_sigh.wav,Sigh,1
f3027,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3027_0_cough.wav,/m/01b_21,f3027_0_cough.wav,Cough,5
m2142,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2142_0_throatclearing.wav,/m/0dl9sf8,m2142_0_throatclearing.wav,Throat clearing,4
m0561,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0561_1_sneeze.wav,/m/01hsr_,m0561_1_sneeze.wav,Sneeze,4
f1349,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1349_1_laughter.wav,/m/01j3sz,f1349_1_laughter.wav,Laughter,1
m1672,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1672_0_throatclearing.wav,/m/0dl9sf8,m1672_0_throatclearing.wav,Throat clearing,4
m3004,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3004_0_sigh.wav,/m/07plz5l,m3004_0_sigh.wav,Sigh,5
f3126,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3126_0_sniff.wav,/m/07ppn3j,f3126_0_sniff.wav,Sniff,3
m0886,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0886_0_sigh.wav,/m/07plz5l,m0886_0_sigh.wav,Sigh,2
m3250,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3250_0_sigh.wav,/m/07plz5l,m3250_0_sigh.wav,Sigh,5
m0733,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0733_0_cough.wav,/m/01b_21,m0733_0_cough.wav,Cough,1
m0429,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m0429_0_cough.wav,/m/01b_21,m0429_0_cough.wav,Cough,2
m2768,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2768_0_laughter.wav,/m/01j3sz,m2768_0_laughter.wav,Laughter,2
f1307,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1307_0_throatclearing.wav,/m/0dl9sf8,f1307_0_throatclearing.wav,Throat clearing,5
f1023,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1023_0_cough.wav,/m/01b_21,f1023_0_cough.wav,Cough,3
m3203,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m3203_0_sneeze.wav,/m/01hsr_,m3203_0_sneeze.wav,Sneeze,4
m2776,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m2776_0_laughter.wav,/m/01j3sz,m2776_0_laughter.wav,Laughter,3
f3027,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f3027_0_throatclearing.wav,/m/0dl9sf8,f3027_0_throatclearing.wav,Throat clearing,2
f1481,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/f1481_0_throatclearing.wav,/m/0dl9sf8,f1481_0_throatclearing.wav,Throat clearing,5
m1563,/data/sls/scratch/yuangong/vocalsound2/data/vs_processed/data_16k/m1563_0_sigh.wav,/m/07plz5l,m1563_0_sigh.wav,Sigh,3
